word	definition
pack	v.打包n.(狼)群
packed	a.擠得滿滿的
painstaking	 n.苦幹 a.辛苦的，需要花力氣的
paleontologist	 n.古生物學家
pane	n.長方塊，窗格玻璃
panel	n.儀錶板，座談小組
pants	n.褲子v.氣喘
paralysis	 n.癱瘓
paralyze	v.使麻痹
paramount	a.極為重要的
paraphrase	 v./n.用簡單解釋，意譯
parasite	n. 食客，寄生蟲
particle	 n.粒子
pasture	n.牧場，v.放牧
patent	n.專利權
pathogeny	n.病原體，生病
patrol	 v./n.巡邏
patron	n.贊助人，資助人
patronage	n.光顧，贊助 v.光顧，資助
pebble	n.小鵝卵石
peculiarity	n.特性，怪癖，土特產
pedant	n. 下垂物，垂飾
penchant	n.強烈的傾向，趣味
penetrate	v.刺穿，滲透，洞察
penetrating	"a,明察秋毫的，(說話)一針見血的"
peninsula	n. 半島
perceive	 v.察覺到，感覺到
perch	n.棲木v.使棲息
percolate	n.濾液 v.過濾percolator篩檢程式，漏勺
percussion	n. 震盪，影響，打擊樂器
percuss	v.輕敲percussive a.敲擊的
peripheral	a.周圍的，不重要的；n. 週邊設備
periphery	n. 圓的周圍，邊緣地帶
perishable	a.容易腐爛的
permeate	 v.滲透
perpetuate	v.使永存
perplexing	a.令人困惑的
persist	v.堅持
perspective	n.視角，透視圖，觀點
pertinent	a.相關的，中肯的
pest	n. 害蟲
petal	n.花瓣
pigment	n.色素，顏料
pillow	n.枕頭
pine	n.松樹
pit	n.坑，陷阱
pivotal	a.關鍵的，樞軸的
plank	n.厚木板
plaster	n.石膏，灰泥
plate	n.盤子，版圖，平面板
platitude	n. 平凡，陳詞濫調
pliable	a.柔軟的，易曲折的
plight	n.困境
plumbing	n. 管道系統，鉛工業製造
plumber	n. 管道工
poisonous	a.有毒的
polarize	v.極化，使兩極分化
pollen	n. 花粉
pollutant	n. 污染物
popular	n. 流行歌曲
portable	a. 輕便的，手提的
portent	n. 預兆
portion	n. 一部分
positive	a.肯定的
possess	v. 擁有，支配
postal	n. 郵政服務
postdate	n. 填遲...的日期
posthumous	a. 死後的，遺腹的
potential	a.潛在的，潛能
pottery	n. 陶器
poverty	n. 貧困
prairie	n. 大草原
precarious	a. 不穩定的，要小心的
precede	v. 優先於
precipitate	n. 沉澱物v.促成，陡然下降
precipitation	n. 降雨量
precursor	n. 先驅
predator	n. 食肉動物
predatory	a.掠奪的，食肉的
predecessor	n. 前輩，前任
predominance	n.優勢
predominate	v.掌握，控制
preeminent	a.卓越的
prefabricate	v.預製
prehistory	a. 史前時期的
preponderance	 n.優勢，佔優勢(重量上)
ponderous	a. 笨重的
prerequisite	n.先決條件
presence	 n.出席，到場
presentation	 n.介紹，表達
preservation	n.保存
prestige	n. 名聲，聲望
pretension	n.藉口，自負
prevail	v. 佔優勢的，主要的
prey	prey被捕食動物v.捕食predator捕食動物
primal	a. 第一的，最初的
primarily	a.主要的
primate	n. 靈長類動物
prime	a.主要的
primitive	a. 原始的
priority	 n.優先權
privilege	n.特權
probe	v./n.探索，調查
proceed	v.向前進，繼續下去，發生，加工
process	n.過程，方法 v.加工
proceeds	n.收益
proclaim	v.宣告，聲稱
proclivity	n.傾向，癖好
prod/spur	v.刺激某人去做某事
prodigious	a.巨大的，揮霍的
prodigy	 n.驚人的事物，天才
produce	v.生產，n.農副產品
proficiency	n.熟練，精通
profile	n. 傳略；人物簡介;大眾的注意
prohibitive	a. 昂貴得讓人怯步的
proliferation	n.增殖，大量繁殖
prolific	a. 多產的
prominent	a.顯著的，突出的
promising	a.有希望的，有前途的
promote	v.推動，提升，對商品宣傳
pronounced	a. 顯著的，明確的
proper	a. 恰當的，得體的
property	n.財產
proponent	n.建議者，支持者
proportion	n. 比例
proprietorship	n. 所有權
propulsion	n.推進，推進力
prospect	n. 景色，前景，前途
prosper	v.成功，昌盛，蓬勃發展
prosperity	 n.繁榮，發達
protectionist	n.貿易保護主義者
protein	n. 蛋白質
prototype	n. 原型
protrude	v.突出
provincialism	n. 地方風尚，心胸狹窄
provocative	a. 煽動的，刺激物
prudent	a.謹慎的
publicize	 v.宣揚
punch	v.打孔，打別人一拳，混合飲料
puncture	n. 小孔，刺破
purification	n.淨化
pyramid	n. 金字塔
quaint	a. 古怪有趣的，精巧的
qualification	n.資格，限定
quarry	n.採石場，獵物，(知識等)來源
quench	v.熄滅，平息，鎮壓
quest	v.尋求
quiescent	a.安靜的，靜止的
quilt	a.被子
radar	n. 雷達
radiation	n. 放射，發光，放熱
radical	a.激進的，根本的，n. 激進分子
radius	n.半徑，範圍
raft	n.木筏
ragtime	n.拉格泰姆黑人音樂，a.滑稽的
rally	"v.重整旗鼓，恢復精力，n.汽車拉力賽,集會"
rampant	a.猖獗的，蔓生的，狂暴的
rancher	n.牧場主，牧工
range	n.範圍，山脈，射程
rarefy	 v.使稀少，稀薄
ration	v./n.定量分配，配給
rattlesnake	n. 響尾蛇
raven	n. 烏鴉 v.掠奪
readjust	v. 重新調整
realm	n. 領土，領域
rear	n./a.後面(的)v.養育，培養
rebellion	n.謀反，反抗
receptacle	n. 容器，花托，插座
receptor	n.神經接收細胞，接收器
recipe	n.食譜，處方
recipient	n.接受人，容納者，容器，容易接受的
recognise	 v.承認，識別，認可
reconstruct	v.重建，改造，推想
recreation	n.娛樂，消遣
rectangle	 n.長方矩形
recycle	v.使再迴圈，回收
redirect	v.(信件)重寄，使改道，使改變方向
reed	n.蘆葦
refine	v.提煉
refined	a.精製的，優雅的
reflection	n.反射，倒影，反思
refraction	n.折射
refreshing	a.提神的，涼爽的
refreshment	n. 點心，飲料，精力恢復
refrigerate	v.使冷卻，冷藏
regenerate	v. 使新生，改革，革新
regime	n.整體，政權
regimentation	n.管轄，團隊精神
regulate	v.正規管制，控制，調節
regulatory	a.按照規矩來的，調整的，規範的
rehabilitate	v.使康復，使複職，使恢復名譽
reign	v./n.統治，統治時期
reinterpret	v.重新解釋
reject	v.拒絕，不及格者
release	v./n.釋放，版本，發表
remainder	n.殘餘，剩餘物
render	v. 遞交，致使
renounce	v. 放棄(信仰，法律)，斷絕關係
rent	n.租金，出租；分裂的，有矛盾的
reorient	v.重新確定研究方向，再教育
replace	v. 代替，取代
replenish	v.重新補充
representation	n.代表，體現
reproduce	v.繁殖，增加，複製，使重現
reptile	n. 爬行動物
repute	n.名聲(中性詞)
resemble	v.象，類似
reservior	n.水庫，貯存
residue	n.殘渣
respective	a. 分別的，各自的
restoration	n.恢復，複職，重建，翻新
restrict	v.限制，禁止
retail	n.零售
retain	v.保持，保留
retool	v.將機械重新整備，重組
retreat	v.撤退，後退
retrieve	v.重新得到，n.找回
reveal	v.展現，暴露
reverend	a. 可敬的，尊敬的
reverse	v.倒轉，n.反面
revise	v.修改
revitalization	n.新生，復興(使重新充滿活力)
revival	n.蘇醒，復活
rhetoric	n. 修辭學
rhythm	n.節奏，韻律
ridge	n. 山脊
rift	n. 裂口，裂縫，長峽谷，不和
rigidity	 n.僵化，硬度
riot	n. 暴動
ripen	v. 成熟
rite/ritual	n. (宗教，傳統)固定的儀式
rival	n.競爭對手 v.和...競爭，相匹敵
roam	v.漫遊
robust	a. 精力充沛的
rod	a. 竹竿，魚杆
roost	n./v.棲木，棲息
roust	v.驚起，喚醒，驅逐
rotate	v.使旋轉
rubble	n. 碎石，瓦礫
rudimentary	a.原始的，根本的，未發展的
rupture	 v./n.斷裂，斷絕(關係等)
rural	a. 鄉村的
rustproof	a. 不鏽的，v.使不生銹
sack	n. 麻袋 v.解雇
sacred	a. 神聖的
saddle	 n.馬鞍，v.承受
sample	n. 樣本
sanctimonious	a. 假裝神聖的
sanction	n./v.批准
sanctuary	n. 避難所，鳥獸保護區
sanitation	n.衛生，衛生設施
satire	n.諷刺，諷刺文學
saturate	 v.使飽和，浸透
scale	n.魚鱗，比例v.攀登，測量
scarce	a. 稀少的，不足的
scare	v./a.驚嚇
scatter	v.分散
scavenger	n.清道夫，食腐動物
scenery	n.風景的總稱
scenic	a. 風光的，佈景的
scent	n. 味，香味，嗅覺
scheme	n. 方案，計畫，陰謀
score	n.分數，帳目，起跑線
scramble	n./v.攀爬
scratch	v.亂塗，抓，搔n.抓痕
screen	n.銀幕v.掩蓋
screw	n. 螺絲釘
scruple	n./v.猶豫，顧慮
sculpture	 v./n.雕刻
sea cucumber	n.海黃瓜，海參
seabed	 n.海底，海床
seaport	n.海港，港口城市
secrete	v.隱秘，分泌
sect	n.宗派，教派，流派，段
sectional	a.部分的，可組合的
sector	n. 部門，部分，象限，磁區
secular	a.世俗的
securely	ad.安全地，堅固地
sediment	n.沉澱物
seedling	n. 幼苗
segment	n.節，段，片段，節肢動物的一節
seismal	a.地震的
self-sufficient	a.自給自足的
semimolten	a.半熔化的
sensibility	n. 理智
sensitive	a.敏感的
sensimental	a.多愁善感的
sequence	n.次序，順序
sequential	a.連續的，有序的
serene	a.平靜的，安詳的
serrate/serrated	a.鋸齒狀的
setting	n. 背景，環境，安裝
sewer	n. 下水道
shatter	v./n.粉碎
shear	v.修剪
shed	v.(頭髮)脫落
sheer	a. 純粹的
shelter	v./n.掩蔽處
shepherd	n.牧羊犬
shield	n.盾v.保護
shifting	 n.狡猾a.轉瞬即逝的
ship	v.運送
shipwright	n.造船工人
short-range	a. 短射程的
shriek	v. 尖叫
shrink	v. 收縮
shrub	n.灌木叢
shutter	n.百葉窗
shuttle	n.梭子，往返汽車 v.穿梭往返
signify	v. 表示，意味
silicon	n. 矽
silversmith	n.銀匠
simultaneous	a. 同時的
scepticism/skepticism	n.懷疑論
skull	n.頭顱
slab	n.厚平板
slice	n.薄片v.切片
slide	v./n.滑行
slope	n.斜坡，斜面
slowbreeding	a.養育起來很慢的
smother	v.窒息，把人悶死
smuggle	n./v.走私
snap	v. 使劈啪響，突然折斷，猛咬
snappish	a. 脾氣暴躁的
snippet	n.片段
snowflake	n.雪花
snug	a.溫暖舒適的
social distinction	n. 社會身份
solder	 n./v.焊接
solemn	a.嚴肅的，隆重的
solidarity	n.鞏固，團結
solidify	v.使凝固，使團結，鞏固
solitary	a.孤獨的
solo	a. 獨奏曲，單獨的
soluble	a.可溶解的
solution	 n.解決辦法，溶液，溶解
soothe	v.安慰，使(痛苦)減輕
sophisticate	a.詭辯的，老於事故的，設備精緻的
sophistication	n. 世故，老練；精密化
sort	n./v.種類
soybean	n.大豆
spacecraft	n.航天器，太空船(單複數相同)
spacious	a. 廣大的，大規模的
span	n./v.跨度，橫越
sparing	"a.節儉的,保守的"
spark	spark火花，閃爍
sparse	a.稀少的，稀疏的
spawn	n./v.魚卵，產卵
specialize	"v.專攻,使專用於"
species	n.物種
specification	 n.詳述(pl.)規格，說明書
specimen	n. 樣本，標本
spectacular	a. 引人入勝的，壯觀的
spectator	n.(比賽)觀眾
speculate	v.推測，思索(about)，做投機買賣(in)
sphere	"n.球,領域"
spinal	"a,脊骨的"
spiral	a.螺旋的v.盤旋
split	v./n.分裂，鬧矛盾，裂口
spoil	 v.毀壞，破壞，慣壞
sponge	n.海綿
spontaneous	a. 自發的，天生就會的
spotlight	"n, 聚光燈，強調，使醒目"
spray	n.噴霧v.噴射
sprout	v.萌芽n.苗芽
spur	n.踢馬刺v.刺激，鼓勵
squash	v.壓扁，鎮壓n.南瓜，擁擠的人群
squeeze	v./n.擠壓，壓榨
squirt	v.噴出
stabilize	 v.使穩定
stagecoach	n.公共馬車
staggering	a.令人震驚的
stagnant	a.停滯不前的，死水般的
staircase	n.樓梯
stalk	n.莖，稈v.跟蹤獵物
staple	n.釘書釘，主要產品(或商品)
starch	n.澱粉
starfish	n.海星
starvation	 n.饑餓，餓死
starve	v.挨餓
stash	v.中斷n.隱藏處
stationary	 a.穩定的，不動的
status	n.地位，身份
steep	a.陡峭的，懸崖 v.浸
steer	 v.駕駛，掌舵
stellar	a.恒星的
stem	n.莖幹，詞幹v.滋生，阻止(from)
sterile	a.無菌的，荒蕪的
sticky	a.粘的
stiffen	v.使僵硬，使粘稠
stimulus	n.刺激物，興奮劑，刺激
sting	 v./n.刺，刺痛
stitch	 v.縫n.一針，針腳
stockcar	n. 畜用車廂，比賽用汽車
stoneman	n. 石匠，石工
stout	a. 結實的，矮胖的n.矮胖子
strained	a.緊張的
strand	n.繩之一股v.船擱淺
stratum	 n.地層，社會階層
stretch	 v.延伸，擴展n.一段時間，路程
stride	v.大步走n.步幅astride橫跨著地
strike	v. 罷工，打擊
striking	a.觸目驚心的，顯著的，打擊的
string	 n.線，弦
stringent	a.嚴厲的，迫切的，銀根緊的
strip	v.剝 n.條
strive	v.努力
stroke	n.球的一擊，船的一劃，繪畫的一筆，
stylize	"a, 程式化的"
subduce	v.除去
submerge	v.淹沒
submit	v.遞交，使服從
subsequent	a.隨後的
subside	v.暴風雨平息
subsidize	 v.資助，津貼，建立子公司
subsist	v.用糧食供養
substantial	 a.實在的 ，堅固的，充實的
substantive	a.本質上的，大量的
substitute	v./n.代替
subterranean	a.地下的
subtile	 a.微妙的
subtract	v.減去
successive	 a. 繼承的，連續的
succinct	a.簡潔的，緊身的
sufficient	a.足夠的
summit	n.頂峰，最高階層a.政府首腦的
sumptuous	a.奢侈的，華麗的
superficial	a.表面的，淺薄的
superior	n.長者，上級 a.較高的，出眾的
supernature	"a, 超自然的，神奇的"
supplement	n..補充，附錄
suppress	v.壓制，鎮壓
supreme	a.極高的，崇高的
surface	n./a.表面(的)v.浮現出來，暴露
surging	n.洶湧
surpass	v.超越，勝過
sustain	v. 支援，支撐，提供食品
sustained	a.持續的，一貫的
sustenance	 n.食物，糧食必需品
swamp	n.沼澤 v.淹沒
swarm	 n.蜂群，一大群 v.湧往，雲集
sweep	v.掃，席捲
symbiotic	a.共生的
symmetrical	a.對稱的
sympathetic	a.同情的
synthetic	a.合成的，綜合的
syrup	 n.糖漿，果汁
tableland	n.高原
tariff	n.關稅
tavern	n.小酒館，客棧
tectonics	n. 構造地質學
tedium	n.冗長，沉悶
telegraph	n.電報
temple	n.廟宇，太陽穴
temporal	a.暫時的，世俗的
tenant	n.房客，v.出租
tendency	 n.傾向
tenement	n.房產，房屋的總稱
tentacle	n.(動物)觸鬚，觸角
terminal	 n.終端，終點站
terminology	 n.術語學
terrace	n.梯田，臺地，陽臺
terrain	n.地形地貌
terrane	n.岩層
terrestrial	a.地球上的，陸地的
terrene	n.地球，陸地，土質的
textile	n.紡織品
texture	n.(織品的)質地，結構
thigh	 n.大腿，股
thread	n.線，線索，思路
three-dimensional	a.三維的，立體的
thrive	v.興旺，蓬勃發展
thunder storm	n.雷雨
tilt	 v.(使)傾斜
timber	n.木料
timid	a.膽小的
tissue	n.細胞組織結構
tolerance	 n.寬容
topographical	a.地形學的
topology	n.拓撲，佈局
tornado	n.龍捲風
torpedo	n.魚雷
torque	 n.手鐲，扭矩，轉矩
torrent	 n.洪流
toxic	a.有毒的
trace	n.動物留下的蹤跡，痕跡
track	n.軌道，小路
trail	n.蹤跡，小路v.跟蹤
trample	 v./n.踐踏
tranquility	n.安靜，平靜
transcend	v.超越，超過
transcendent	 a.卓越的，超然的
transfer	v.轉移，轉學，轉帳
transform	v.改變形狀，轉化
transition	n.過渡時期
translucent	a.半透明的
transparent	a.透明的
transmit	v.發射信號，傳播
transmitter	n.轉送者，發報機，發射器
transplant	v./n.移植
trap	 n.陷阱v.設圈套，陷害
tread	n./v.踏
treason	n.叛國罪，背信
tremendous	a.巨大的
trench	n./v.溝，挖戰壕
trend	n.潮流，傾向
tribal	a.種族的
trickle	v.滴流，涓涓細流
trigger	n.扳機vt.引起，引發
tropical	a.熱帶的，熱情的
tub	n.浴盆，大桶
tube	n.軟管子
tumble	 v.翻滾n.摔跤
tundra	"n. 苔原, 凍土地帶"
tunnel	n.隧道
turbulence	n.騷亂，(氣流)紊亂
turbulent	a.混亂的，攪亂的
turnpike	n.收費公路
turquoise	n.綠松石
twine	n.麻線v.使纏繞
twist	 n./v.扭曲
typify	v.成為典型，代表
tyrannical	a.殘暴的tyrant n.暴君
ultrasonic	a. 超聲波的
unadorned	a.未裝飾的，樸素的
unbridgeable	a.不能架橋的，不能逾越的
uncharted	a. 海圖上未標明的，不詳的
undergo	v.遭受(苦難)
underlying	a.潛在的，作為基礎的，根本的
undertake	v.承擔
undoubted	a.不容置疑的，確實的
unexplored	a.未開發的，未探索的
unfertilized	a.未施肥的，未受精的
unimaginable	a.不可想像的
uninhabited	a.沒人居住的
unpalatable	a.味道差的，不好吃的
unprecedented	a. 空前的
unpredictable	a.不可預知的
unpromising	a.無希望的
unravel	v.拆開，解開
unregistered	a. 未註冊的
unsubstantiated	a.未證實的
untouched	a. 未觸動的，不受感動的
upgrade	v. (電腦)更新，升級
upland	n.丘陵地
urban	a.城市的，市內的
urbanism	n.都市生活
urbanite	n. 都市人
urbanization	n. 農村的都市化
usher	n.領座員 v.引導
utilitarian	a.功利主義的
utilization	 n.利用utilize v.利用
Utopian	a.烏托邦的，理想化的
utterly	ad.完全地
vacancy	n.空
vanish	v.消失
variable	a. 易變的，不定的
variance	n.差異，不同
varnish	n.清漆，凡立水
vault	n. 地下室，銀行地下庫
vegetation	n. 植被
veil	n. 面紗，v.掩飾
veining	n.礦脈，葉脈的排列
velocity	n.速度
venerable	a.莊嚴的，可敬的
vent	n.通風口
venture	 v/n.冒險
verse	n.詩歌的總稱
version	n.版本，譯本
vertebrate	n.脊椎動物
vertical	a.垂直的
vessel	n.船的總稱，容器
viable	a.能夠活下去的
vigilance	n.警惕，警覺
violence	n. 暴力
viral	n.濾過性毒菌的
viscosity	" n. 粘質, 粘性"
vivid	a.生動的，顏色鮮豔的
void	a.空的，無人的，無用的
volatile	a.揮發性的，脾氣反復無常的
volcanic	a.火山的
voracious	a.貪吃的 
vulnerable	a.易受攻擊的，易受外界影響的
waist	n.腰
walnut	n.胡桃
warehouse	n.倉庫
warily	ad.警惕地
waxy	a.象蠟的，蒼白的
weary	a.疲勞的，厭倦的
weather	v.風化
weird	a.怪異的
weld	v.焊接
well-being	n.社會安寧富有的狀態
well-organized	a.組織機構好的狀態
whim	n.一時的興致，反復無常
whimsical	 a.反復無常的
whittle	v.切，削
wholesale	n.批發
wholesome	a.健康的，衛生的
willow	n.柳樹
witness	n.目擊者v.親眼目睹
wrap	v.包
wrack	n.船失事，v.完全損壞
wreck	n.失事船或飛機，殘骸
wreckage	 n.失事，遭難 
yawn	v.打呵欠
yarn	n.紗線
yield	 n.糧食產量v.屈服(to)
yolk/yelk	n.蛋黃
zealous	a.熱情的
